"Регулировка мощности";"Вес";"Уровень шума";"Тип инфракрасного обогревателя";"Уровни мощности";"Защитные функции";"Установка тепловой завесы";"Изображение";"Термостат";"Количество секций";"Максимальный воздухообмен";"Наименование";"Габариты (ШхВхГ)";"Тип";"Напряжение";"Поворот корпуса";"Удобство использования";"Потребляемая энергия";"Тип нагревательного элемента";"Вентиляция без нагрева";"Дополнительная информация";"Каминный эффект";"Ионизатор";"Цена";"Управление";"Пылевой фильтр";"Увлажнитель";"Варианты монтажа";"Площадь обогрева";"Максимальный нагрев поверхности";"Вентилятор";"Мощность обогрева";"Таймер"
"AEG"
"";1.0;0;"";"";"";"";"aegfw-505.jpg";"";"";"";"AEG FW 505";"25x25x11 см";"конвектор";"220/230 В";"";"";0;"";"";"";"";"";1400;"механическое, регулировка температуры";"";"";"настенный, напольный";0;"";"";500;""
"есть";1.6;0;"";"2000/1000 Вт";"отключение при перегреве, отключение при опрокидывании";"";"aeghs-204-st.jpg";"есть";"";"";"AEG HS 204 ST";"20.3x28x15.4 см";"термовентилятор";"220/230 В";"";"ручка";0;"";"есть";"";"";"";0;"механическое, регулировка температуры, выключатель со световым индикатором";"";"";"напольный";0;"";"есть";0;"нет"
"есть";1.3;0;"";"2000/1200/1000 Вт";"защита от мороза, отключение при перегреве, отключение при опрокидывании";"";"aeghs-206-t.jpg";"есть";"";"";"AEG HS 206 T";"23.6x28x13.5 см";"термовентилятор";"220/230 В";"";"";0;"";"";"";"";"";1600;"механическое, регулировка температуры";"";"";"";0;"";"есть";0;"нет"
"";2.2;0;"галогенный";"";"";"";"aegir-comfort-1520.jpg";"";"";"";"AEG IR Comfort 1520";"40x14x9.5 см";"инфракрасный";"220/230 В";"";"";0;"";"";"";"";"";8200;"механическое";"";"";"настенный";10;"";"";1500;""
"";2.5;0;"галогенный";"";"";"";"aegir-comfort-1524.jpg";"";"";"";"AEG IR Comfort 1524";"48x14x9.5 см";"инфракрасный";"220/230 В";"";"";0;"";"";"";"";"";9700;"механическое";"";"";"настенный";0;"";"";1500;"нет"
"";2.2;0;"галогенный";"";"";"";"aegir-comfort-2020.jpg";"";"";"";"AEG IR Comfort 2020";"40x14x9.5 см";"инфракрасный";"220/230 В";"";"";0;"";"";"";"";"";8200;"механическое";"";"";"настенный";12;"";"";2000;"нет"
"";2.5;0;"галогенный";"";"";"";"aegir-comfort-2024.jpg";"";"";"";"AEG IR Comfort 2024";"48x14x9.5 см";"инфракрасный";"220/230 В";"";"";0;"";"";"";"";"";0;"механическое";"";"";"настенный";0;"";"";2000;"нет"
"";0.0;0;"галогенный";"";"влагозащитный корпус";"";"aegir-comfort-2024-h.jpg";"";"";"";"AEG IR Comfort 2024 H";"48x14x9.5 см";"инфракрасный";"220/230 В";"";"";0;"";"";"при подключении пульта управления возможно ступенчатое переключение мощности излучения";"";"";0;"механическое";"";"";"настенный";0;"";"";2000;"нет"
"";0.0;0;"галогенный";"";"влагозащитный корпус";"";"aegir-comfort-3024.jpg";"";"";"";"AEG IR Comfort 3024";"90x14.5x9.5 см";"инфракрасный";"220/230 В";"";"";0;"";"";"";"";"";19300;"механическое";"";"";"настенный";0;"";"";3000;"нет"
"";0.0;0;"галогенный";"";"влагозащитный корпус";"";"aegir-comfort-6024.jpg";"";"";"";"AEG IR Comfort 6024";"130.3x14.5x9.5 см";"инфракрасный";"380/400 В";"";"";0;"";"";"";"";"";29000;"механическое";"";"";"настенный";0;"";"";6000;"нет"
"";2.5;0;"галогенный";"";"влагозащитный корпус";"";"aegir-premium-1650.jpg";"";"";"";"AEG IR Premium 1650";"60.5x12.5x10 см";"инфракрасный";"220/230 В";"";"";0;"";"";"горизонтальный монтаж";"";"";14600;"";"";"";"настенный, потолочный";10;"";"";1650;""
"";2.5;0;"галогенный";"";"влагозащитный корпус";"";"aegir-premium-2000.jpg";"";"";"";"AEG IR Premium 2000";"60.5x12.5x10 см";"инфракрасный";"220/230 В";"";"";0;"";"";"горизонтальный/вертикальный монтаж";"";"";15200;"";"";"";"настенный, потолочный";12;"";"";2000;""
"";2.5;0;"галогенный";"";"влагозащитный корпус";"";"aegir-premium-2000-h.jpg";"";"";"";"AEG IR Premium 2000 H";"60.5x12.5x10 см";"инфракрасный";"220/230 В";"";"";0;"";"";"горизонтальный/вертикальный монтаж; возможно ступенчатое переключение мощности излучения";"";"";16400;"";"";"";"настенный, потолочный";12;"";"";2000;""
"";6.5;0;"галогенный";"";"отключение при перегреве, влагозащитный корпус";"";"aegir-premium-6000.jpg";"";"";"";"AEG IR Premium 6000";"61x31x12.5 см";"инфракрасный";"380/400 В";"";"";0;"";"";"состоит из трех обогревателей типа IR Premium 2000";"";"";46100;"механическое";"";"";"настенный";36;"";"";6000;"нет"
"";3.35;0;"галогенный";"";"отключение при перегреве, влагозащитный корпус";"";"aegir-premium-plus-1650.jpg";"";"";"";"AEG IR Premium Plus 1650";"82x10x12.5 см";"инфракрасный";"220/230 В";"";"";1750;"";"";"возможно подключение диммера, объединение приборов в многозональную систему обогрева";"";"";0;"";"";"";"настенный";10;"";"";1650;"нет"
"";3.35;0;"галогенный";"";"отключение при перегреве, влагозащитный корпус";"";"aegir-premium-plus-2000.jpg";"";"";"";"AEG IR Premium Plus 2000";"82x10x12.5 см";"инфракрасный";"220/230 В";"";"";2100;"";"";"возможно подключение диммера, объединение приборов в многозональную систему обогрева";"";"";26000;"";"";"";"настенный";14;"";"";2000;"нет"
